French,Russian,Category,Subcategory
recevoir,получать / получить,Verbes,Top100
oublier,забывать / забыть,Verbes,Top100
se souvenir,вспоминать / вспомнить,Verbes,Top100
croire,верить / поверить,Verbes,Top100
espérer,надеяться,Verbes,Top100
avoir peur,бояться / испугаться,Verbes,Top100
sourire,улыбаться / улыбнуться,Verbes,Top100
rire,смеяться / засмеяться,Verbes,Top100
pleurer,плакать / заплакать,Verbes,Top100
mourir,умирать / умереть,Verbes,Top100
naître,рождаться / родиться,Verbes,Top100
grandir,расти / вырасти,Verbes,Top100
changer,изменять / изменить,Verbes,Top100
devenir,становиться / стать,Verbes,Top100
sauver,спасать / спасти,Verbes,Top100
perdre,терять / потерять,Verbes,Top100
chercher,искать / поискать,Verbes,Top100
rencontrer,встречать / встретить,Verbes,Top100
inviter,приглашать / пригласить,Verbes,Top100
célébrer,праздновать / отпраздновать,Verbes,Top100
planifier,планировать / запланировать,Verbes,Top100
voyager,путешествовать,Verbes,Top100
se reposer,отдыхать / отдохнуть,Verbes,Top100
être malade,болеть / заболеть,Verbes,Top100
soigner,лечить / вылечить,Verbes,Top100
nettoyer,чистить / почистить,Verbes,Top100
ranger,убирать / убрать,Verbes,Top100
laver (le linge),стирать / постирать,Verbes,Top100
repasser,гладить / погладить,Verbes,Top100
coudre,шить / сшить,Verbes,Top100
dessiner,рисовать / нарисовать,Verbes,Top100
photographier,фотографировать / сфотографировать,Verbes,Top100
s'habiller,одеваться / одеться,Verbes,Top100
se déshabiller,раздеваться / раздеться,Verbes,Top100
se laver (le visage),умываться / умыться,Verbes,Top100
se coiffer,причёсываться / причесаться,Verbes,Top100
se raser,бриться / побриться,Verbes,Top100
peindre,красить / покрасить,Verbes,Top100
construire,строить / построить,Verbes,Top100
réparer,ремонтировать / отремонтировать,Verbes,Top100
casser,разбивать / разбить,Verbes,Top100
rassembler,собирать / собрать,Verbes,Top100
démonter,разбирать / разобрать,Verbes,Top100
choisir,выбирать / выбрать,Verbes,Top100
Rouge,Красный,Couleur,Couleurs de base
Jaune,Жёлтый,Couleur,Couleurs de base
Bleu,Синий,Couleur,Couleurs de base
Vert,Зелёный,Couleur,Couleurs de base
Blanc,Белый,Couleur,Couleurs de base
Noir,Чёрный,Couleur,Couleurs de base
Violet,Фиолетовый,Couleur,Couleurs de base
Rose,Розовый,Couleur,Couleurs de base
Orange,Оранжевый,Couleur,Couleurs de base
Marron,Коричневый,Couleur,Couleurs de base
Gris,Серый,Couleur,Couleurs de base
Turquoise,Бирюзовый,Couleur,Couleurs avancées
Indigo,Индиго,Couleur,Couleurs avancées
Lavande,Лавандовый,Couleur,Couleurs avancées
Bordeaux,Бордовый,Couleur,Couleurs avancées
Écarlate,Алый,Couleur,Couleurs avancées
Chartreuse,Шартрез,Couleur,Couleurs avancées
Cyan,Голубой,Couleur,Couleurs avancées
Magenta,Маджента,Couleur,Couleurs avancées
Moutarde,Горчичный,Couleur,Couleurs avancées
Olive,Оливковый,Couleur,Couleurs avancées
Crème,Кремовый,Couleur,Couleurs avancées
Beige,Бежевый,Couleur,Couleurs avancées
Ivoire,Слоновая кость,Couleur,Couleurs avancées
Or,Золотой,Couleur,Couleurs métalliques
Argent,Серебряный,Couleur,Couleurs métalliques
Bronze,Бронзовый,Couleur,Couleurs métalliques
Cuivre,Медный,Couleur,Couleurs métalliques
Acier,Стальной,Couleur,Couleurs métalliques
Salon,Гостиная,Maison,Pièces intérieures
Salle à manger,Столовая,Maison,Pièces intérieures
Cuisine,Кухня,Maison,Pièces intérieures
Chambre,Спальня,Maison,Pièces intérieures
Salle de bains,Ванная,Maison,Pièces intérieures
Toilette,Туалет,Maison,Pièces intérieures
Couloir,Коридор,Maison,Pièces intérieures
Entrée,Прихожая,Maison,Pièces intérieures
Bureau,Кабинет,Maison,Pièces intérieures
Grenier,Чердак,Maison,Pièces intérieures
Cave,Подвал,Maison,Pièces intérieures
Buanderie,Прачечная,Maison,Pièces fonctionnelles
Cellier,Кладовая,Maison,Pièces fonctionnelles
Chaufferie,Котельная,Maison,Pièces fonctionnelles
Dressing,Гардеробная,Maison,Pièces fonctionnelles
Atelier,Мастерская,Maison,Pièces fonctionnelles
Garage,Гараж,Maison,Pièces fonctionnelles
Jardin,Сад,Maison,Pièces extérieures
Terrasse,Терраса,Maison,Pièces extérieures
Balcon,Балкон,Maison,Pièces extérieures
Cour,Двор,Maison,Pièces extérieures
Véranda,Веранда,Maison,Pièces extérieures
Pergola,Пергола,Maison,Pièces extérieures
Abri de jardin,Садовый домик,Maison,Pièces extérieures
